Date,High,Low,Open,Close,Volume,Adj Close
2019-01-01,168.7682647705078,150.2381591796875,150.89578247070312,164.85459899902344,267838686,164.85459899902344
2019-01-02,174.23353576660156,162.24879455566406,165.62203979492188,171.82737731933594,270357561,171.82737731933594
2019-01-03,175.46414184570312,160.3275909423828,173.2724609375,162.0499267578125,231676176,162.0499267578125
2019-01-04,165.37069702148438,155.6101531982422,161.71157836914062,161.3956298828125,207663255,161.3956298828125
2019-01-05,166.359130859375,158.33197021484375,161.1407928466797,160.40121459960938,230320255,160.40121459960938
2019-01-06,170.75271606445312,159.15122985839844,160.18698120117188,166.8411865234375,226834845,166.8411865234375
2019-01-07,168.32928466796875,160.80352783203125,166.8470001220703,161.2439727783203,204578538,161.2439727783203
2019-01-08,164.85931396484375,158.65904235839844,161.40292358398438,161.91262817382812,167967145,161.91262817382812
2019-01-09,162.53659057617188,158.4420166015625,162.11941528320312,160.08474731445312,163008542,160.08474731445312
2019-01-10,164.39772033691406,133.33888244628906,160.28477478027344,134.966796875,349267379,134.966796875
2019-01-11,134.7850341796875,129.4267120361328,133.90774536132812,131.6685791015625,221067019,131.6685791015625
2019-01-12,138.55088806152344,131.49559020996094,131.49559020996094,134.38116455078125,212095966,134.38116455078125
2019-01-13,135.79608154296875,123.8711166381836,134.49673461914062,126.34981536865234,182166624,126.34981536865234
2019-01-14,136.9587860107422,124.89478302001953,126.48271942138672,133.97984313964844,214446102,133.97984313964844
2019-01-15,134.6835479736328,126.99542236328125,133.9701690673828,128.48001098632812,182316505,128.48001098632812
2019-01-16,131.1820068359375,128.1846160888672,128.6878662109375,129.16934204101562,161105128,129.16934204101562
2019-01-17,131.8909454345703,127.15645599365234,129.2044677734375,131.05453491210938,178365450,131.05453491210938
2019-01-18,131.0939178466797,126.9332275390625,131.0939178466797,128.45748901367188,208629422,128.45748901367188
2019-01-19,131.68580627441406,127.60054016113281,128.5467987060547,130.2041015625,198967556,130.2041015625
2019-01-20,130.99639892578125,122.71903991699219,130.1376190185547,123.88646697998047,269797874,123.88646697998047
2019-01-21,124.34527587890625,121.85819244384766,123.92018127441406,122.82960510253906,187814581,122.82960510253906
2019-01-22,131.4987335205078,118.81300354003906,122.71257781982422,128.4401092529297,264996480,128.4401092529297
2019-01-23,134.70449829101562,127.83136749267578,128.440185546875,132.32009887695312,293056048,132.32009887695312
2019-01-24,132.2902069091797,127.4676513671875,132.21119689941406,129.3973388671875,264182477,129.3973388671875
2019-01-25,129.84329223632812,126.37190246582031,129.52093505859375,128.37045288085938,205641444,128.37045288085938
2019-01-26,129.6563720703125,126.96595764160156,128.4443817138672,127.1396713256836,178570796,127.1396713256836
2019-01-27,127.53508758544922,120.70153045654297,127.15506744384766,122.90110778808594,201627687,122.90110778808594
2019-01-28,123.03539276123047,108.0881576538086,123.03539276123047,112.49606323242188,322496467,112.49606323242188
2019-01-29,113.53565979003906,108.10831451416016,112.25018310546875,111.0904541015625,263554927,111.0904541015625
2019-01-30,119.75407409667969,109.63318634033203,110.95767211914062,118.38124084472656,278213607,118.38124084472656
2019-01-31,120.43569946289062,114.0615005493164,118.15505981445312,114.81018829345703,277744299,114.81018829345703
2019-02-01,118.1522216796875,112.06761169433594,114.79912567138672,116.55672454833984,246917441,116.55672454833984
2019-02-02,122.00370788574219,116.21630096435547,116.55433654785156,121.79053497314453,251181380,121.79053497314453
2019-02-03,121.9732894897461,117.47777557373047,121.79032135009766,118.8281478881836,218977856,118.8281478881836
2019-02-04,120.56281280517578,118.34693908691406,119.3039779663086,119.1247787475586,207822688,119.1247787475586
2019-02-05,119.9107894897461,117.20027160644531,119.0271987915039,117.71129608154297,205839408,117.71129608154297
2019-02-06,120.0052261352539,111.83869171142578,117.98096466064453,115.3336410522461,289253747,115.3336410522461
2019-02-07,117.56552124023438,114.1750717163086,115.17918395996094,115.15020751953125,192007562,115.15020751953125
2019-02-08,131.224365234375,115.1843490600586,115.78274536132812,130.86221313476562,392818315,130.86221313476562
2019-02-09,130.47872924804688,126.06038665771484,129.9276885986328,128.6419219970703,233478378,128.6419219970703
2019-02-10,129.0228729248047,122.2263412475586,128.6325225830078,127.58672332763672,285347998,127.58672332763672
2019-02-11,127.69316864013672,121.84005737304688,127.69316864013672,122.51187896728516,282031883,122.51187896728516
2019-02-12,123.58497619628906,119.55393981933594,122.5234146118164,123.44557189941406,236077048,123.44557189941406
