Date,High,Low,Open,Close,Volume,Adj Close
2019-03-14,6.6399431228637695,6.3539628982543945,6.4397149085998535,6.526641845703125,7318172,6.526641845703125
2019-03-15,7.715249061584473,6.432467937469482,6.633173942565918,7.5043511390686035,6057301,7.5043511390686035
2019-03-16,8.305615425109863,6.694530963897705,7.507989883422852,7.38388204574585,3477393,7.38388204574585
2019-03-17,7.357442855834961,4.7278947830200195,7.357442855834961,4.7761640548706055,2653565,4.7761640548706055
2019-03-18,5.229981899261475,4.82824182510376,4.82824182510376,5.1103410720825195,2567201,5.1103410720825195
2019-03-19,5.206171989440918,4.794500827789307,5.099977970123291,4.821883201599121,3891084,4.821883201599121
2019-03-20,4.835414886474609,3.8711299896240234,4.8176751136779785,4.381394863128662,3934421,4.381394863128662
2019-03-21,4.421520233154297,3.5858709812164307,4.421520233154297,3.6329479217529297,3901346,3.6329479217529297
2019-03-22,3.6332778930664062,3.285578966140747,3.631108045578003,3.4985458850860596,4680808,3.4985458850860596
2019-03-23,3.5338521003723145,3.337096929550171,3.5061960220336914,3.4455161094665527,4409797,3.4455161094665527
2019-03-24,3.88149094581604,3.42864990234375,3.4454519748687744,3.7652430534362793,3928803,3.7652430534362793
2019-03-25,3.9560229778289795,3.6642189025878906,3.7491939067840576,3.778341054916382,4661791,3.778341054916382
2019-03-26,3.8280251026153564,3.482585906982422,3.7610459327697754,3.7439029216766357,6463760,3.7439029216766357
2019-03-27,3.828119993209839,3.5963149070739746,3.746467113494873,3.776921033859253,7031767,3.776921033859253
2019-03-28,3.7875161170959473,3.482593059539795,3.7737300395965576,3.4923861026763916,6030320,3.4923861026763916
2019-03-29,3.5528619289398193,3.4084529876708984,3.4895710945129395,3.539836883544922,4012185,3.539836883544922
2019-03-30,3.5625109672546387,3.379499912261963,3.540853977203369,3.4665849208831787,3370884,3.4665849208831787
2019-03-31,3.628398895263672,3.440876007080078,3.4665849208831787,3.62432599067688,3945618,3.62432599067688
2019-03-31,3.869307041168213,3.5951030254364014,3.610076904296875,3.7251830101013184,4158589,3.7251830101013184
2019-04-01,3.834567070007324,3.6109530925750732,3.7619431018829346,3.7871971130371094,5365043,3.7871971130371094
2019-04-02,3.9252769947052,3.6637489795684814,3.7871971130371094,3.7669520378112793,5083727,3.7669520378112793
2019-04-03,3.8318428993225098,3.7031850814819336,3.7628979682922363,3.7472949028015137,5321012,3.7472949028015137
2019-04-04,3.839879035949707,3.673582077026367,3.744652032852173,3.808443069458008,5415803,3.808443069458008
2019-04-05,4.462975978851318,3.770066976547241,3.8092620372772217,4.447354793548584,4623456,4.447354793548584
2019-04-06,4.8867621421813965,4.3419270515441895,4.473976135253906,4.616361141204834,4191619,4.616361141204834
2019-04-07,5.847438812255859,4.6156439781188965,4.63458776473999,5.450051784515381,4041530,5.450051784515381
2019-04-08,5.471556186676025,3.8039190769195557,5.450051784515381,3.8440980911254883,5205817,3.8440980911254883
2019-04-09,4.183901786804199,3.6703269481658936,3.802623987197876,3.7497830390930176,4666417,3.7497830390930176
2019-04-10,3.8641951084136963,3.4835638999938965,3.770163059234619,3.509813070297241,5287619,3.509813070297241
2019-04-11,4.334712028503418,3.48281192779541,3.5175299644470215,4.3065361976623535,4766004,4.3065361976623535
2019-04-12,4.46878719329834,4.168932914733887,4.304440975189209,4.303037166595459,4074112,4.303037166595459
2019-04-13,4.488018035888672,4.124598979949951,4.303037166595459,4.462687015533447,4087545,4.462687015533447
