Date,High,Low,Open,Close,Volume,Adj Close
2020-01-01,7254.33056640625,7174.9443359375,7194.89208984375,7200.17431640625,18565664997.0,7200.17431640625
2020-01-02,7212.1552734375,6935.27001953125,7202.55126953125,6985.47021484375,20802083465.0,6985.47021484375
2020-01-03,7413.71533203125,6914.99609375,6984.4287109375,7344.88427734375,28111481032.0,7344.88427734375
2020-01-04,7427.3857421875,7309.51416015625,7345.37548828125,7410.65673828125,18444271275.0,7410.65673828125
2020-01-05,7544.4970703125,7400.53564453125,7410.45166015625,7411.3173828125,19725074095.0,7411.3173828125
2020-01-06,7781.8671875,7409.29296875,7410.4521484375,7769.21923828125,23276261598.0,7769.21923828125
2020-01-07,8178.2158203125,7768.2275390625,7768.68212890625,8163.6923828125,28767291327.0,8163.6923828125
2020-01-08,8396.73828125,7956.7744140625,8161.935546875,8079.86279296875,31672559265.0,8079.86279296875
2020-01-09,8082.2958984375,7842.40380859375,8082.2958984375,7879.0712890625,24045990466.0,7879.0712890625
2020-01-10,8166.55419921875,7726.77490234375,7878.3076171875,8166.55419921875,28714583844.0,8166.55419921875
2020-01-11,8218.359375,8029.64208984375,8162.19091796875,8037.53759765625,25521165085.0,8037.53759765625
2020-01-12,8200.0634765625,8009.05908203125,8033.26171875,8192.494140625,22903438381.0,8192.494140625
2020-01-13,8197.7880859375,8079.70068359375,8189.77197265625,8144.1943359375,22482910688.0,8144.1943359375
2020-01-14,8879.51171875,8140.93310546875,8140.93310546875,8827.7646484375,44841784107.0,8827.7646484375
2020-01-15,8890.1171875,8657.1875,8825.34375,8807.0107421875,40102834650.0,8807.0107421875
2020-01-16,8846.4609375,8612.095703125,8812.4814453125,8723.7861328125,31313981931.0,8723.7861328125
2020-01-17,8958.1220703125,8677.31640625,8725.2099609375,8929.0380859375,36372139320.0,8929.0380859375
2020-01-18,9012.1982421875,8827.33203125,8927.2119140625,8942.80859375,32337772627.0,8942.80859375
2020-01-19,9164.3623046875,8620.080078125,8941.4453125,8706.2451171875,34217320471.0,8706.2451171875
2020-01-20,8745.5908203125,8560.4736328125,8704.6318359375,8657.642578125,26422375678.0,8657.642578125
2020-01-21,8755.7060546875,8544.5205078125,8658.9912109375,8745.89453125,24097418512.0,8745.89453125
2020-01-22,8792.994140625,8636.7470703125,8744.2109375,8680.8759765625,22600204051.0,8680.8759765625
2020-01-23,8687.7470703125,8333.6376953125,8680.650390625,8406.515625,25770680779.0,8406.515625
2020-01-24,8514.6669921875,8266.8408203125,8405.5673828125,8445.4345703125,24397913026.0,8445.4345703125
2020-01-25,8458.453125,8296.21875,8440.119140625,8367.84765625,19647331549.0,8367.84765625
2020-01-26,8602.4013671875,8325.498046875,8364.41015625,8596.830078125,22177678796.0,8596.830078125
2020-01-27,8977.7265625,8597.30859375,8597.30859375,8909.8193359375,28647338393.0,8909.8193359375
2020-01-28,9358.58984375,8908.447265625,8912.5244140625,9358.58984375,34398744403.0,9358.58984375
2020-01-29,9406.431640625,9269.4677734375,9357.470703125,9316.6298828125,30682598115.0,9316.6298828125
2020-01-30,9553.1259765625,9230.8974609375,9316.0166015625,9508.9931640625,32378792851.0,9508.9931640625
2020-01-31,9521.7060546875,9230.7763671875,9508.3134765625,9350.529296875,29432489719.0,9350.529296875
